Fargate Costs,,,,,,Secuirty Hub Costs,,,,,,,Totals,,,,,
vCPU/Hour,RAM/Hour,Minutes/Run,Runs/Month,Total Runtime,Fargate Costs,E/E Checks,Resource per Check,Findings For Resources,Findings/Month,Findings After Free Tier,Finding Cost,SH Cost,Monthly Cost,Yearly Cost,Regions,Yearly Region Cost,Accounts,Yearly Region Account Costs
$0.04048 , $0.004445 ,5,30,2.5,$0.246850 ,108,5,540,16200,6200, $0.00003 , $0.1860 ,$0.432850 ,$5.19 ,2,$10.39 ,20,$207.77 
$0.04048 , $0.004445 ,5,60,5,$0.493700 ,108,5,540,32400,22400, $0.00003 , $0.6720 ,$1.165700 ,$13.99 ,2,$27.98 ,30,$839.30 
$0.04048 , $0.004445 ,5,120,10,$0.987400 ,108,5,540,64800,54800, $0.00003 , $1.6440 ,$2.631400 ,$31.58 ,4,$126.31 ,50,"$6,315.36 "
$0.04048 , $0.004445 ,5,240,20,$1.974800 ,108,5,540,129600,119600, $0.00003 , $3.5880 ,$5.562800 ,$66.75 ,4,$267.01 ,100,"$26,701.44 "
$0.04048 , $0.004445 ,10,30,5,$0.493700 ,108,10,1080,32400,22400, $0.00003 , $0.6720 ,$1.165700 ,$13.99 ,2,$27.98 ,20,$559.54 
$0.04048 , $0.004445 ,10,60,10,$0.987400 ,108,10,1080,64800,54800, $0.00003 , $1.6440 ,$2.631400 ,$31.58 ,2,$63.15 ,30,"$1,894.61 "
$0.04048 , $0.004445 ,10,120,20,$1.974800 ,108,10,1080,129600,119600, $0.00003 , $3.5880 ,$5.562800 ,$66.75 ,4,$267.01 ,50,"$13,350.72 "
$0.04048 , $0.004445 ,10,240,40,$3.949600 ,108,15,1620,388800,378800, $0.00003 , $11.3640 ,$15.313600 ,$183.76 ,4,$735.05 ,500,"$367,526.40 "
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
E/E Default,,,,,,,,,,,,,,,,,,
vCPU,2,,,,,,,,,,,,,,,,,
RAM,4,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Runs/Month,,,,,,,,,,,,,,,,,,
Every 24 hours,30,,,,,,,,,,,,,,,,,
Every 12 hours,60,,,,,,,,,,,,,,,,,
Every 6 hours,120,,,,,,,,,,,,,,,,,
Every 3 hours,240,,,,,,,,,,,,,,,,,
